Resume Preview,Java Developer_0,Java Developer_1,Java Developer_2,DevOps Engineer_3,DevOps Engineer_4,DevOps Engineer_5,Python Developer_6,Python Developer_7,Python Developer_8,Operations Manager_9,Operations Manager_10,Operations Manager_11,Network Security Engineer_12,Network Security Engineer_13,Network Security Engineer_14,Testing_15,Testing_16,Testing_17,Civil Engineer_18,Civil Engineer_19,Civil Engineer_20,Automation Testing_21,Automation Testing_22,Automation Testing_23,Business Analyst_24,Business Analyst_25,Business Analyst_26,Advocate_27,Advocate_28,Advocate_29,Blockchain_30,Blockchain_31,Blockchain_32,Mechanical Engineer_33,Mechanical Engineer_34,Mechanical Engineer_35,SAP Developer_36,SAP Developer_37,SAP Developer_38,Health and fitness_39,Health and fitness_40,Health and fitness_41,Sales_42,Sales_43,Sales_44,Database_45,Database_46,Database_47,Data Science_48,Data Science_49,Data Science_50,Electrical Engineering_51,Electrical Engineering_52,Electrical Engineering_53,Web Designing_54,Web Designing_55,Web Designing_56,DotNet Developer_57,DotNet Developer_58,DotNet Developer_59,Hadoop_60,Hadoop_61,Hadoop_62,PMO_63,PMO_64,PMO_65,HR_66,HR_67,HR_68,Arts_69,Arts_70,Arts_71,ETL Developer_72,ETL Developer_73,ETL Developer_74
"Education Details 
January 2018 M.S. Nutrition and Exercise Physiology New York, NY Teachers Colleg...",0.2986,0.2374,0.3634,0.2238,0.2365,0.2355,0.2049,0.2742,0.2737,0.2966,0.3123,0.2854,0.2908,0.3188,0.2994,0.2983,0.2979,0.2716,0.3211,0.3311,0.3218,0.2429,0.2516,0.231,0.2963,0.2978,0.283,0.3534,0.3449,0.3225,0.3321,0.3381,0.3207,0.3586,0.3739,0.3607,0.2762,0.2784,0.2459,0.57,0.5752,0.5397,0.3245,0.3048,0.286,0.3033,0.304,0.2953,0.3676,0.3503,0.3221,0.3144,0.3248,0.296,0.3156,0.3236,0.2802,0.3109,0.3147,0.2857,0.2698,0.2734,0.2468,0.3215,0.3214,0.2846,0.3646,0.3474,0.3015,0.3579,0.3244,0.3162,0.2429,0.254,0.2101
Personal Skills: â¢ Good verbal and written communication skills â¢ Ability to deal with people di...,0.3085,0.2199,0.2962,0.2135,0.2398,0.1949,0.212,0.2701,0.2218,0.3709,0.3978,0.3664,0.3435,0.3766,0.3696,0.3744,0.3655,0.3503,0.3759,0.4002,0.4063,0.3631,0.3675,0.3469,0.3534,0.3387,0.337,0.3688,0.3793,0.3436,0.3295,0.3425,0.3449,0.4419,0.461,0.4507,0.3363,0.3258,0.3092,0.5713,0.5778,0.5708,0.3897,0.3647,0.356,0.3587,0.3576,0.3661,0.3781,0.3564,0.3336,0.3777,0.4068,0.3879,0.3694,0.382,0.3485,0.3459,0.3268,0.3238,0.2445,0.2528,0.2375,0.3708,0.3726,0.3492,0.419,0.3957,0.3542,0.4072,0.3741,0.3886,0.2969,0.3089,0.2865
SKILLS: Computer: â¢ Can easily operate in Operating System like Windows 10. â¢ Can work in Ms-Off...,0.3236,0.2514,0.2944,0.2607,0.281,0.1986,0.2521,0.3198,0.2315,0.4025,0.4104,0.3991,0.3319,0.3463,0.3478,0.3727,0.3548,0.3515,0.3628,0.3763,0.3825,0.3733,0.3718,0.3615,0.3581,0.3499,0.3447,0.3606,0.3553,0.3383,0.3359,0.3261,0.3387,0.4119,0.4179,0.4149,0.3213,0.3024,0.2975,0.5883,0.5857,0.5708,0.4005,0.3718,0.3744,0.3786,0.3666,0.3835,0.3796,0.3583,0.3429,0.3803,0.381,0.372,0.3396,0.3415,0.3268,0.3335,0.3138,0.3142,0.2552,0.2528,0.2478,0.3869,0.3793,0.3616,0.4071,0.3785,0.3566,0.3796,0.3577,0.3645,0.2933,0.2849,0.2742
"Education Details 
January 2009 P.G. Sports science  Dr. BMN College of Home Science
January 2008 ...",0.373,0.3092,0.4302,0.286,0.3618,0.3119,0.2643,0.3258,0.312,0.4495,0.4665,0.4426,0.4488,0.4747,0.455,0.4413,0.4431,0.4249,0.4509,0.4611,0.4546,0.3926,0.4076,0.3795,0.4471,0.4483,0.4265,0.5175,0.5267,0.5013,0.4393,0.4524,0.4446,0.4688,0.4881,0.4691,0.41,0.4122,0.3964,0.6209,0.6356,0.623,0.4746,0.4686,0.457,0.4306,0.4363,0.4284,0.4744,0.4754,0.4438,0.4335,0.4526,0.424,0.4321,0.4594,0.4235,0.4506,0.4566,0.4366,0.3224,0.3348,0.3162,0.4299,0.4434,0.4236,0.5056,0.488,0.4546,0.4935,0.4698,0.4717,0.3743,0.3918,0.3572
"Education Details 
May 2014 Diploma Nutrition Education Bengaluru, Karnataka IGNOU University
June...",0.301,0.2301,0.2673,0.2081,0.244,0.2111,0.1751,0.2169,0.1999,0.2975,0.3233,0.3073,0.2717,0.3054,0.2932,0.3203,0.3152,0.3151,0.2993,0.3182,0.3217,0.2791,0.2898,0.2763,0.3498,0.3348,0.3332,0.3684,0.3689,0.3528,0.3092,0.3203,0.3326,0.3285,0.3462,0.3296,0.2982,0.2891,0.2806,0.5367,0.5405,0.558,0.3335,0.3099,0.3143,0.3155,0.3163,0.3372,0.3516,0.3331,0.3249,0.3012,0.327,0.3056,0.2963,0.312,0.2895,0.2899,0.2796,0.2727,0.2464,0.25,0.2517,0.3011,0.3034,0.2952,0.3587,0.3309,0.3117,0.3444,0.3037,0.338,0.2429,0.2567,0.2427
"Education Details 
January 1992 to January 2003 First year Science Mumbai, Maharashtra St micheal h...",0.4433,0.3546,0.5021,0.3203,0.4031,0.3371,0.3501,0.3906,0.3886,0.4789,0.504,0.5075,0.5155,0.5374,0.5289,0.4972,0.4933,0.482,0.5401,0.5515,0.5534,0.4354,0.4251,0.4176,0.4828,0.4905,0.4804,0.4699,0.4696,0.4715,0.4946,0.4989,0.4854,0.5699,0.5667,0.5703,0.4815,0.4823,0.4586,0.66,0.6642,0.6492,0.4964,0.4635,0.4637,0.4713,0.4706,0.4856,0.5385,0.499,0.5288,0.5254,0.5306,0.5294,0.4924,0.4899,0.4645,0.433,0.4412,0.4186,0.4528,0.4477,0.4267,0.4998,0.4944,0.4772,0.5225,0.5103,0.4602,0.5175,0.4827,0.4861,0.4147,0.4311,0.4128
"Education Details 
January 2018 M.S. Nutrition and Exercise Physiology New York, NY Teachers Colleg...",0.2986,0.2374,0.3634,0.2238,0.2365,0.2355,0.2049,0.2742,0.2737,0.2966,0.3123,0.2854,0.2908,0.3188,0.2994,0.2983,0.2979,0.2716,0.3211,0.3311,0.3218,0.2429,0.2516,0.231,0.2963,0.2978,0.283,0.3534,0.3449,0.3225,0.3321,0.3381,0.3207,0.3586,0.3739,0.3607,0.2762,0.2784,0.2459,0.57,0.5752,0.5397,0.3245,0.3048,0.286,0.3033,0.304,0.2953,0.3676,0.3503,0.3221,0.3144,0.3248,0.296,0.3156,0.3236,0.2802,0.3109,0.3147,0.2857,0.2698,0.2734,0.2468,0.3215,0.3214,0.2846,0.3646,0.3474,0.3015,0.3579,0.3244,0.3162,0.2429,0.254,0.2101
Personal Skills: â¢ Good verbal and written communication skills â¢ Ability to deal with people di...,0.3085,0.2199,0.2962,0.2135,0.2398,0.1949,0.212,0.2701,0.2218,0.3709,0.3978,0.3664,0.3435,0.3766,0.3696,0.3744,0.3655,0.3503,0.3759,0.4002,0.4063,0.3631,0.3675,0.3469,0.3534,0.3387,0.337,0.3688,0.3793,0.3436,0.3295,0.3425,0.3449,0.4419,0.461,0.4507,0.3363,0.3258,0.3092,0.5713,0.5778,0.5708,0.3897,0.3647,0.356,0.3587,0.3576,0.3661,0.3781,0.3564,0.3336,0.3777,0.4068,0.3879,0.3694,0.382,0.3485,0.3459,0.3268,0.3238,0.2445,0.2528,0.2375,0.3708,0.3726,0.3492,0.419,0.3957,0.3542,0.4072,0.3741,0.3886,0.2969,0.3089,0.2865
SKILLS: Computer: â¢ Can easily operate in Operating System like Windows 10. â¢ Can work in Ms-Off...,0.3236,0.2514,0.2944,0.2607,0.281,0.1986,0.2521,0.3198,0.2315,0.4025,0.4104,0.3991,0.3319,0.3463,0.3478,0.3727,0.3548,0.3515,0.3628,0.3763,0.3825,0.3733,0.3718,0.3615,0.3581,0.3499,0.3447,0.3606,0.3553,0.3383,0.3359,0.3261,0.3387,0.4119,0.4179,0.4149,0.3213,0.3024,0.2975,0.5883,0.5857,0.5708,0.4005,0.3718,0.3744,0.3786,0.3666,0.3835,0.3796,0.3583,0.3429,0.3803,0.381,0.372,0.3396,0.3415,0.3268,0.3335,0.3138,0.3142,0.2552,0.2528,0.2478,0.3869,0.3793,0.3616,0.4071,0.3785,0.3566,0.3796,0.3577,0.3645,0.2933,0.2849,0.2742
"Education Details 
January 2009 P.G. Sports science  Dr. BMN College of Home Science
January 2008 ...",0.373,0.3092,0.4302,0.286,0.3618,0.3119,0.2643,0.3258,0.312,0.4495,0.4665,0.4426,0.4488,0.4747,0.455,0.4413,0.4431,0.4249,0.4509,0.4611,0.4546,0.3926,0.4076,0.3795,0.4471,0.4483,0.4265,0.5175,0.5267,0.5013,0.4393,0.4524,0.4446,0.4688,0.4881,0.4691,0.41,0.4122,0.3964,0.6209,0.6356,0.623,0.4746,0.4686,0.457,0.4306,0.4363,0.4284,0.4744,0.4754,0.4438,0.4335,0.4526,0.424,0.4321,0.4594,0.4235,0.4506,0.4566,0.4366,0.3224,0.3348,0.3162,0.4299,0.4434,0.4236,0.5056,0.488,0.4546,0.4935,0.4698,0.4717,0.3743,0.3918,0.3572
"Education Details 
May 2014 Diploma Nutrition Education Bengaluru, Karnataka IGNOU University
June...",0.301,0.2301,0.2673,0.2081,0.244,0.2111,0.1751,0.2169,0.1999,0.2975,0.3233,0.3073,0.2717,0.3054,0.2932,0.3203,0.3152,0.3151,0.2993,0.3182,0.3217,0.2791,0.2898,0.2763,0.3498,0.3348,0.3332,0.3684,0.3689,0.3528,0.3092,0.3203,0.3326,0.3285,0.3462,0.3296,0.2982,0.2891,0.2806,0.5367,0.5405,0.558,0.3335,0.3099,0.3143,0.3155,0.3163,0.3372,0.3516,0.3331,0.3249,0.3012,0.327,0.3056,0.2963,0.312,0.2895,0.2899,0.2796,0.2727,0.2464,0.25,0.2517,0.3011,0.3034,0.2952,0.3587,0.3309,0.3117,0.3444,0.3037,0.338,0.2429,0.2567,0.2427
"Education Details 
January 1992 to January 2003 First year Science Mumbai, Maharashtra St micheal h...",0.4433,0.3546,0.5021,0.3203,0.4031,0.3371,0.3501,0.3906,0.3886,0.4789,0.504,0.5075,0.5155,0.5374,0.5289,0.4972,0.4933,0.482,0.5401,0.5515,0.5534,0.4354,0.4251,0.4176,0.4828,0.4905,0.4804,0.4699,0.4696,0.4715,0.4946,0.4989,0.4854,0.5699,0.5667,0.5703,0.4815,0.4823,0.4586,0.66,0.6642,0.6492,0.4964,0.4635,0.4637,0.4713,0.4706,0.4856,0.5385,0.499,0.5288,0.5254,0.5306,0.5294,0.4924,0.4899,0.4645,0.433,0.4412,0.4186,0.4528,0.4477,0.4267,0.4998,0.4944,0.4772,0.5225,0.5103,0.4602,0.5175,0.4827,0.4861,0.4147,0.4311,0.4128
"Education Details 
January 2018 M.S. Nutrition and Exercise Physiology New York, NY Teachers Colleg...",0.2986,0.2374,0.3634,0.2238,0.2365,0.2355,0.2049,0.2742,0.2737,0.2966,0.3123,0.2854,0.2908,0.3188,0.2994,0.2983,0.2979,0.2716,0.3211,0.3311,0.3218,0.2429,0.2516,0.231,0.2963,0.2978,0.283,0.3534,0.3449,0.3225,0.3321,0.3381,0.3207,0.3586,0.3739,0.3607,0.2762,0.2784,0.2459,0.57,0.5752,0.5397,0.3245,0.3048,0.286,0.3033,0.304,0.2953,0.3676,0.3503,0.3221,0.3144,0.3248,0.296,0.3156,0.3236,0.2802,0.3109,0.3147,0.2857,0.2698,0.2734,0.2468,0.3215,0.3214,0.2846,0.3646,0.3474,0.3015,0.3579,0.3244,0.3162,0.2429,0.254,0.2101
Personal Skills: â¢ Good verbal and written communication skills â¢ Ability to deal with people di...,0.3085,0.2199,0.2962,0.2135,0.2398,0.1949,0.212,0.2701,0.2218,0.3709,0.3978,0.3664,0.3435,0.3766,0.3696,0.3744,0.3655,0.3503,0.3759,0.4002,0.4063,0.3631,0.3675,0.3469,0.3534,0.3387,0.337,0.3688,0.3793,0.3436,0.3295,0.3425,0.3449,0.4419,0.461,0.4507,0.3363,0.3258,0.3092,0.5713,0.5778,0.5708,0.3897,0.3647,0.356,0.3587,0.3576,0.3661,0.3781,0.3564,0.3336,0.3777,0.4068,0.3879,0.3694,0.382,0.3485,0.3459,0.3268,0.3238,0.2445,0.2528,0.2375,0.3708,0.3726,0.3492,0.419,0.3957,0.3542,0.4072,0.3741,0.3886,0.2969,0.3089,0.2865
SKILLS: Computer: â¢ Can easily operate in Operating System like Windows 10. â¢ Can work in Ms-Off...,0.3236,0.2514,0.2944,0.2607,0.281,0.1986,0.2521,0.3198,0.2315,0.4025,0.4104,0.3991,0.3319,0.3463,0.3478,0.3727,0.3548,0.3515,0.3628,0.3763,0.3825,0.3733,0.3718,0.3615,0.3581,0.3499,0.3447,0.3606,0.3553,0.3383,0.3359,0.3261,0.3387,0.4119,0.4179,0.4149,0.3213,0.3024,0.2975,0.5883,0.5857,0.5708,0.4005,0.3718,0.3744,0.3786,0.3666,0.3835,0.3796,0.3583,0.3429,0.3803,0.381,0.372,0.3396,0.3415,0.3268,0.3335,0.3138,0.3142,0.2552,0.2528,0.2478,0.3869,0.3793,0.3616,0.4071,0.3785,0.3566,0.3796,0.3577,0.3645,0.2933,0.2849,0.2742
"Education Details 
January 2009 P.G. Sports science  Dr. BMN College of Home Science
January 2008 ...",0.373,0.3092,0.4302,0.286,0.3618,0.3119,0.2643,0.3258,0.312,0.4495,0.4665,0.4426,0.4488,0.4747,0.455,0.4413,0.4431,0.4249,0.4509,0.4611,0.4546,0.3926,0.4076,0.3795,0.4471,0.4483,0.4265,0.5175,0.5267,0.5013,0.4393,0.4524,0.4446,0.4688,0.4881,0.4691,0.41,0.4122,0.3964,0.6209,0.6356,0.623,0.4746,0.4686,0.457,0.4306,0.4363,0.4284,0.4744,0.4754,0.4438,0.4335,0.4526,0.424,0.4321,0.4594,0.4235,0.4506,0.4566,0.4366,0.3224,0.3348,0.3162,0.4299,0.4434,0.4236,0.5056,0.488,0.4546,0.4935,0.4698,0.4717,0.3743,0.3918,0.3572
"Education Details 
May 2014 Diploma Nutrition Education Bengaluru, Karnataka IGNOU University
June...",0.301,0.2301,0.2673,0.2081,0.244,0.2111,0.1751,0.2169,0.1999,0.2975,0.3233,0.3073,0.2717,0.3054,0.2932,0.3203,0.3152,0.3151,0.2993,0.3182,0.3217,0.2791,0.2898,0.2763,0.3498,0.3348,0.3332,0.3684,0.3689,0.3528,0.3092,0.3203,0.3326,0.3285,0.3462,0.3296,0.2982,0.2891,0.2806,0.5367,0.5405,0.558,0.3335,0.3099,0.3143,0.3155,0.3163,0.3372,0.3516,0.3331,0.3249,0.3012,0.327,0.3056,0.2963,0.312,0.2895,0.2899,0.2796,0.2727,0.2464,0.25,0.2517,0.3011,0.3034,0.2952,0.3587,0.3309,0.3117,0.3444,0.3037,0.338,0.2429,0.2567,0.2427
"Education Details 
January 1992 to January 2003 First year Science Mumbai, Maharashtra St micheal h...",0.4433,0.3546,0.5021,0.3203,0.4031,0.3371,0.3501,0.3906,0.3886,0.4789,0.504,0.5075,0.5155,0.5374,0.5289,0.4972,0.4933,0.482,0.5401,0.5515,0.5534,0.4354,0.4251,0.4176,0.4828,0.4905,0.4804,0.4699,0.4696,0.4715,0.4946,0.4989,0.4854,0.5699,0.5667,0.5703,0.4815,0.4823,0.4586,0.66,0.6642,0.6492,0.4964,0.4635,0.4637,0.4713,0.4706,0.4856,0.5385,0.499,0.5288,0.5254,0.5306,0.5294,0.4924,0.4899,0.4645,0.433,0.4412,0.4186,0.4528,0.4477,0.4267,0.4998,0.4944,0.4772,0.5225,0.5103,0.4602,0.5175,0.4827,0.4861,0.4147,0.4311,0.4128
"Education Details 
January 2018 M.S. Nutrition and Exercise Physiology New York, NY Teachers Colleg...",0.2986,0.2374,0.3634,0.2238,0.2365,0.2355,0.2049,0.2742,0.2737,0.2966,0.3123,0.2854,0.2908,0.3188,0.2994,0.2983,0.2979,0.2716,0.3211,0.3311,0.3218,0.2429,0.2516,0.231,0.2963,0.2978,0.283,0.3534,0.3449,0.3225,0.3321,0.3381,0.3207,0.3586,0.3739,0.3607,0.2762,0.2784,0.2459,0.57,0.5752,0.5397,0.3245,0.3048,0.286,0.3033,0.304,0.2953,0.3676,0.3503,0.3221,0.3144,0.3248,0.296,0.3156,0.3236,0.2802,0.3109,0.3147,0.2857,0.2698,0.2734,0.2468,0.3215,0.3214,0.2846,0.3646,0.3474,0.3015,0.3579,0.3244,0.3162,0.2429,0.254,0.2101
Personal Skills: â¢ Good verbal and written communication skills â¢ Ability to deal with people di...,0.3085,0.2199,0.2962,0.2135,0.2398,0.1949,0.212,0.2701,0.2218,0.3709,0.3978,0.3664,0.3435,0.3766,0.3696,0.3744,0.3655,0.3503,0.3759,0.4002,0.4063,0.3631,0.3675,0.3469,0.3534,0.3387,0.337,0.3688,0.3793,0.3436,0.3295,0.3425,0.3449,0.4419,0.461,0.4507,0.3363,0.3258,0.3092,0.5713,0.5778,0.5708,0.3897,0.3647,0.356,0.3587,0.3576,0.3661,0.3781,0.3564,0.3336,0.3777,0.4068,0.3879,0.3694,0.382,0.3485,0.3459,0.3268,0.3238,0.2445,0.2528,0.2375,0.3708,0.3726,0.3492,0.419,0.3957,0.3542,0.4072,0.3741,0.3886,0.2969,0.3089,0.2865
SKILLS: Computer: â¢ Can easily operate in Operating System like Windows 10. â¢ Can work in Ms-Off...,0.3236,0.2514,0.2944,0.2607,0.281,0.1986,0.2521,0.3198,0.2315,0.4025,0.4104,0.3991,0.3319,0.3463,0.3478,0.3727,0.3548,0.3515,0.3628,0.3763,0.3825,0.3733,0.3718,0.3615,0.3581,0.3499,0.3447,0.3606,0.3553,0.3383,0.3359,0.3261,0.3387,0.4119,0.4179,0.4149,0.3213,0.3024,0.2975,0.5883,0.5857,0.5708,0.4005,0.3718,0.3744,0.3786,0.3666,0.3835,0.3796,0.3583,0.3429,0.3803,0.381,0.372,0.3396,0.3415,0.3268,0.3335,0.3138,0.3142,0.2552,0.2528,0.2478,0.3869,0.3793,0.3616,0.4071,0.3785,0.3566,0.3796,0.3577,0.3645,0.2933,0.2849,0.2742
"Education Details 
January 2009 P.G. Sports science  Dr. BMN College of Home Science
January 2008 ...",0.373,0.3092,0.4302,0.286,0.3618,0.3119,0.2643,0.3258,0.312,0.4495,0.4665,0.4426,0.4488,0.4747,0.455,0.4413,0.4431,0.4249,0.4509,0.4611,0.4546,0.3926,0.4076,0.3795,0.4471,0.4483,0.4265,0.5175,0.5267,0.5013,0.4393,0.4524,0.4446,0.4688,0.4881,0.4691,0.41,0.4122,0.3964,0.6209,0.6356,0.623,0.4746,0.4686,0.457,0.4306,0.4363,0.4284,0.4744,0.4754,0.4438,0.4335,0.4526,0.424,0.4321,0.4594,0.4235,0.4506,0.4566,0.4366,0.3224,0.3348,0.3162,0.4299,0.4434,0.4236,0.5056,0.488,0.4546,0.4935,0.4698,0.4717,0.3743,0.3918,0.3572
"Education Details 
May 2014 Diploma Nutrition Education Bengaluru, Karnataka IGNOU University
June...",0.301,0.2301,0.2673,0.2081,0.244,0.2111,0.1751,0.2169,0.1999,0.2975,0.3233,0.3073,0.2717,0.3054,0.2932,0.3203,0.3152,0.3151,0.2993,0.3182,0.3217,0.2791,0.2898,0.2763,0.3498,0.3348,0.3332,0.3684,0.3689,0.3528,0.3092,0.3203,0.3326,0.3285,0.3462,0.3296,0.2982,0.2891,0.2806,0.5367,0.5405,0.558,0.3335,0.3099,0.3143,0.3155,0.3163,0.3372,0.3516,0.3331,0.3249,0.3012,0.327,0.3056,0.2963,0.312,0.2895,0.2899,0.2796,0.2727,0.2464,0.25,0.2517,0.3011,0.3034,0.2952,0.3587,0.3309,0.3117,0.3444,0.3037,0.338,0.2429,0.2567,0.2427
"Education Details 
January 1992 to January 2003 First year Science Mumbai, Maharashtra St micheal h...",0.4433,0.3546,0.5021,0.3203,0.4031,0.3371,0.3501,0.3906,0.3886,0.4789,0.504,0.5075,0.5155,0.5374,0.5289,0.4972,0.4933,0.482,0.5401,0.5515,0.5534,0.4354,0.4251,0.4176,0.4828,0.4905,0.4804,0.4699,0.4696,0.4715,0.4946,0.4989,0.4854,0.5699,0.5667,0.5703,0.4815,0.4823,0.4586,0.66,0.6642,0.6492,0.4964,0.4635,0.4637,0.4713,0.4706,0.4856,0.5385,0.499,0.5288,0.5254,0.5306,0.5294,0.4924,0.4899,0.4645,0.433,0.4412,0.4186,0.4528,0.4477,0.4267,0.4998,0.4944,0.4772,0.5225,0.5103,0.4602,0.5175,0.4827,0.4861,0.4147,0.4311,0.4128
"Education Details 
January 2018 M.S. Nutrition and Exercise Physiology New York, NY Teachers Colleg...",0.2986,0.2374,0.3634,0.2238,0.2365,0.2355,0.2049,0.2742,0.2737,0.2966,0.3123,0.2854,0.2908,0.3188,0.2994,0.2983,0.2979,0.2716,0.3211,0.3311,0.3218,0.2429,0.2516,0.231,0.2963,0.2978,0.283,0.3534,0.3449,0.3225,0.3321,0.3381,0.3207,0.3586,0.3739,0.3607,0.2762,0.2784,0.2459,0.57,0.5752,0.5397,0.3245,0.3048,0.286,0.3033,0.304,0.2953,0.3676,0.3503,0.3221,0.3144,0.3248,0.296,0.3156,0.3236,0.2802,0.3109,0.3147,0.2857,0.2698,0.2734,0.2468,0.3215,0.3214,0.2846,0.3646,0.3474,0.3015,0.3579,0.3244,0.3162,0.2429,0.254,0.2101
Personal Skills: â¢ Good verbal and written communication skills â¢ Ability to deal with people di...,0.3085,0.2199,0.2962,0.2135,0.2398,0.1949,0.212,0.2701,0.2218,0.3709,0.3978,0.3664,0.3435,0.3766,0.3696,0.3744,0.3655,0.3503,0.3759,0.4002,0.4063,0.3631,0.3675,0.3469,0.3534,0.3387,0.337,0.3688,0.3793,0.3436,0.3295,0.3425,0.3449,0.4419,0.461,0.4507,0.3363,0.3258,0.3092,0.5713,0.5778,0.5708,0.3897,0.3647,0.356,0.3587,0.3576,0.3661,0.3781,0.3564,0.3336,0.3777,0.4068,0.3879,0.3694,0.382,0.3485,0.3459,0.3268,0.3238,0.2445,0.2528,0.2375,0.3708,0.3726,0.3492,0.419,0.3957,0.3542,0.4072,0.3741,0.3886,0.2969,0.3089,0.2865
SKILLS: Computer: â¢ Can easily operate in Operating System like Windows 10. â¢ Can work in Ms-Off...,0.3236,0.2514,0.2944,0.2607,0.281,0.1986,0.2521,0.3198,0.2315,0.4025,0.4104,0.3991,0.3319,0.3463,0.3478,0.3727,0.3548,0.3515,0.3628,0.3763,0.3825,0.3733,0.3718,0.3615,0.3581,0.3499,0.3447,0.3606,0.3553,0.3383,0.3359,0.3261,0.3387,0.4119,0.4179,0.4149,0.3213,0.3024,0.2975,0.5883,0.5857,0.5708,0.4005,0.3718,0.3744,0.3786,0.3666,0.3835,0.3796,0.3583,0.3429,0.3803,0.381,0.372,0.3396,0.3415,0.3268,0.3335,0.3138,0.3142,0.2552,0.2528,0.2478,0.3869,0.3793,0.3616,0.4071,0.3785,0.3566,0.3796,0.3577,0.3645,0.2933,0.2849,0.2742
"Education Details 
January 2009 P.G. Sports science  Dr. BMN College of Home Science
January 2008 ...",0.373,0.3092,0.4302,0.286,0.3618,0.3119,0.2643,0.3258,0.312,0.4495,0.4665,0.4426,0.4488,0.4747,0.455,0.4413,0.4431,0.4249,0.4509,0.4611,0.4546,0.3926,0.4076,0.3795,0.4471,0.4483,0.4265,0.5175,0.5267,0.5013,0.4393,0.4524,0.4446,0.4688,0.4881,0.4691,0.41,0.4122,0.3964,0.6209,0.6356,0.623,0.4746,0.4686,0.457,0.4306,0.4363,0.4284,0.4744,0.4754,0.4438,0.4335,0.4526,0.424,0.4321,0.4594,0.4235,0.4506,0.4566,0.4366,0.3224,0.3348,0.3162,0.4299,0.4434,0.4236,0.5056,0.488,0.4546,0.4935,0.4698,0.4717,0.3743,0.3918,0.3572
"Education Details 
May 2014 Diploma Nutrition Education Bengaluru, Karnataka IGNOU University
June...",0.301,0.2301,0.2673,0.2081,0.244,0.2111,0.1751,0.2169,0.1999,0.2975,0.3233,0.3073,0.2717,0.3054,0.2932,0.3203,0.3152,0.3151,0.2993,0.3182,0.3217,0.2791,0.2898,0.2763,0.3498,0.3348,0.3332,0.3684,0.3689,0.3528,0.3092,0.3203,0.3326,0.3285,0.3462,0.3296,0.2982,0.2891,0.2806,0.5367,0.5405,0.558,0.3335,0.3099,0.3143,0.3155,0.3163,0.3372,0.3516,0.3331,0.3249,0.3012,0.327,0.3056,0.2963,0.312,0.2895,0.2899,0.2796,0.2727,0.2464,0.25,0.2517,0.3011,0.3034,0.2952,0.3587,0.3309,0.3117,0.3444,0.3037,0.338,0.2429,0.2567,0.2427
"Education Details 
 B.E in Civil Engineering Civil Engineering Chennai, Tamil Nadu Anna University...",0.2746,0.2805,0.2941,0.3062,0.3906,0.2765,0.2408,0.2983,0.2847,0.372,0.3931,0.3565,0.4053,0.4351,0.4261,0.3854,0.3896,0.3734,0.483,0.5084,0.4981,0.358,0.3856,0.3492,0.335,0.3433,0.3222,0.3511,0.3808,0.3414,0.3685,0.3616,0.376,0.4275,0.4676,0.4452,0.3728,0.3639,0.3596,0.3809,0.3957,0.3989,0.3667,0.3616,0.3576,0.3525,0.356,0.3605,0.4213,0.4137,0.3892,0.4548,0.4779,0.4553,0.3297,0.3618,0.3315,0.3538,0.3604,0.345,0.2491,0.2644,0.2607,0.3827,0.3983,0.3752,0.4025,0.3831,0.3727,0.375,0.3893,0.3829,0.3892,0.3875,0.3639
"Education Details 
January 2005 S.S.C  Baramati, Maharashtra M.E.S. Highschool
 B.E. Civil Enginee...",0.4224,0.3889,0.5523,0.3759,0.4707,0.3602,0.3412,0.4147,0.4967,0.491,0.5227,0.53,0.568,0.604,0.5926,0.5068,0.5192,0.5116,0.6506,0.6599,0.6718,0.4733,0.4686,0.4602,0.4544,0.4619,0.4517,0.4477,0.4809,0.4754,0.4691,0.49,0.4849,0.5994,0.6066,0.6113,0.5066,0.5333,0.5151,0.4348,0.4594,0.466,0.4638,0.476,0.47,0.474,0.4865,0.4857,0.5311,0.5172,0.5435,0.5992,0.6186,0.6328,0.5127,0.5393,0.5117,0.4612,0.4909,0.4708,0.446,0.4698,0.4335,0.4798,0.507,0.4958,0.5186,0.5192,0.4877,0.5115,0.5045,0.51,0.469,0.503,0.4869
"SKILLS â¢ 1.Autocad â¢ 2.Pro v â¢ 3.Catia â¢ 4.word, excel â¢ 5.Photoshop INDUSTRIAL EXPOSURE I...",0.3447,0.2741,0.3328,0.352,0.3575,0.2756,0.3136,0.3801,0.3297,0.4442,0.4435,0.453,0.4179,0.4239,0.4357,0.434,0.4058,0.4279,0.491,0.4838,0.5137,0.4712,0.4377,0.4544,0.3807,0.3649,0.3652,0.3727,0.382,0.3757,0.3834,0.3754,0.3981,0.4908,0.4758,0.4894,0.4211,0.4055,0.4172,0.4308,0.4277,0.4464,0.4302,0.421,0.4289,0.4412,0.4273,0.4402,0.4632,0.4362,0.4439,0.4551,0.4532,0.4736,0.434,0.435,0.4319,0.4003,0.3824,0.4024,0.3187,0.3197,0.3089,0.4579,0.4552,0.4536,0.4723,0.444,0.4355,0.4627,0.4439,0.4618,0.3789,0.3697,0.3779
